,title,label
37,Wuhan virus: Shares of China drugmakers rise amid pneumonia concerns,REAL
38,Pharmaceutical stocks spike after China reports new coronavirus cases -- Asian market latest - CNN,FAKE
39,New China coronavirus spooks global markets,REAL
40,"Dow falls more than 100 points amid first US case of coronavirus, big decline in Boeing",REAL
41,China coronavirus: What we know about the outbreak,REAL
42,"Stocks making the biggest moves midday: Morgan Stanley, Beyond Meat, Uber, Tesla and more",REAL
43,CDC announces first US case of coronavirus that killed 17 in China,REAL
44,WHO to decide whether China coronavirus is a global health emergency,REAL
45,Paul Tudor Jones says this 'crazy' market reminds him of early '99,REAL
46,UPDATE 1-United tops profit forecasts even as Boeing 737 MAX crisis drags on,REAL
47,UPDATE 3-United beats Wall Street expectations despite ongoing 737 MAX delays,REAL
48,Airline stocks in Asia take a hit amid growing coronavirus fears in China,REAL
49,EMERGING MARKETS-Latam assets keel as China virus sours risk appetite,REAL
50,New China virus: US announces first case - BBC News,FAKE
51,Coronavirus claims sixth victim as holiday travel stokes risk,REAL
52,BRIEF-CDC Says Plans To Expand Airport Screening To Airports In Atlanta And Chicago This Week,REAL
53,CDC expects more U.S. cases of China coronavirus,REAL
54,UPDATE 4-German government bond yield bounces back from two-week lows,REAL
55,"Dow to fall, Trump speaks at Davos and China says coronavirus spreads",REAL
56,EMERGING MARKETS-Assets battered as China virus fears mount,REAL
57,China is trying to stop the spread of new coronavirus at worst possible time of year - CNN,FAKE
58,Wuhan coronavirus case confirmed in Washington state - CNN,FAKE
59,Coronavirus: shares in Asia Pacific fall sharply as fears mount | World news | The Guardian,FAKE
60,"US briefing: impeachment trial, coronavirus and gun violence | US news | The Guardian",FAKE
61,Coronavirus: health officials announce first known US case | Society | The Guardian,FAKE
62,Coronavirus: airports around the world carry out screenings | Science | The Guardian,FAKE
63,China's travel industry braces for Wuhan coronavirus disruption - CNN,FAKE
64,'Live animals are the largest source of infection': dangers of the export trade | Environment | The Guardian,FAKE
65,How quickly does the Wuhan virus spread?,REAL
66,The US has its first case of the new Wuhan coronavirus ,FAKE
67,Arrival of new SARS-like virus in U.S. heightens concerns about global spread | Science | AAAS,REAL
68,Coronavirus: WHO warn deadly disease ‘expected to spread through China and abroad’ | Science | News | Express.co.uk,FAKE
69,Coronavirus warning: US confirms first case of disease in Seattle - is it safe to travel? | Travel News | Travel | Express.co.uk,FAKE
70,"Coronavirus: Chinese hospitals not testing patients, say relatives | World news | The Guardian",FAKE
71,Coronavirus news: Virus may have spread to AUSTRALIA as man tested for deadly illness | World | News | Express.co.uk,FAKE
72,Coronavirus symptoms: Where does coronavirus come from? Is it deadly?  | Express.co.uk,FAKE
73,Coronavirus: How does coronavirus spread? | Express.co.uk,FAKE
74,Dow tumbles on first case of coronavirus in the United States - CNN,FAKE
75,Coronavirus US outbreak: What is Coronavirus? Symptoms and how to avoid deadly virus | Express.co.uk,FAKE
76,Hong Kong leads Asian markets lower on credit downgrade and coronavirus fears - CNN,FAKE
77,US airline stocks fall on coronavirus fears - CNN,FAKE
78,China confirms Wuhan virus can be spread by humans - CNN,FAKE
79,Premarket stocks: When Netflix went toe-to-toe with Disney+  - CNN,FAKE
80,"5 things to know before the stock market opens January 21, 2020",REAL
81,Climate change: HFC emissions are rapidly rising and China and India could be to blame | Science | News | Express.co.uk,FAKE
82,Vaccine for new Chinese coronavirus in the works - CNN,FAKE
83,Dimer Offers New Germ-Killing Robot to Disinfect Airplanes at Key US Airports to Protect Passengers from Coronavirus Outbreak,REAL
84,Vir Biotechnology applying multiple platforms to address public heath risk from Wuhan coronavirus,REAL
85,Coronavirus spreads to Europe: Two people hospitalised in Russia as UK on alert | World | News | Express.co.uk,FAKE
86,China coronavirus MAPPED: Where has Coronavirus struck in China?  | World | News | Express.co.uk,FAKE
87,Type 2 diabetes symptoms: Signs of high blood sugar include flexor tenosynovitis | Express.co.uk,FAKE
88,Coronavirus outbreak in China traced to snakes -- ScienceDaily,REAL
89,Coronavirus outbreak: Horror fears deadly virus ‘could mutate’ as death toll rises | World | News | Express.co.uk,FAKE
90,Stomach bloating: Drinking peppermint tea could reduce abdominal pain and bloating | Express.co.uk,FAKE
91,Coronavirus latest warning: Latest warning on deadly disease - symptoms to spot | Express.co.uk,FAKE
92,Coronavirus WHO emergency meeting: Why did WHO postpone emergency decision? | Express.co.uk,FAKE
93,Coronavirus: Deadly disease sparks fears of global financial meltdown - ‘Watch out!’ | World | News | Express.co.uk,FAKE
94,China coronavirus: Human-to-human transmission CONFIRMED - How dangerous is Coronavirus? | World | News | Express.co.uk,FAKE
95,Coronavirus LIVE: At least nine dead as horror virus sweeps the globe  | Express.co.uk,FAKE
96,Coronavirus: China tells doctors to hold people against their will to stop spread of virus | World | News | Express.co.uk,FAKE
97,"What to watch today: Trump blasts Fed, Boeing predicts delay, virus spreads to US",REAL
98,Coronavirus latest: Briton feared to be diagnosed with China’s coronavirus has bird flu | World | News | Express.co.uk,FAKE
99,Coronavirus ’mutates’ sparking global health emergency fears – cases double to 440  | World | News | Express.co.uk,FAKE
100,Coronavirus: Is it safe to travel to Thailand as China virus kills nine? Latest news | Travel News | Travel | Express.co.uk,FAKE
101,Coronavirus UK: Britain upgrades risk of deadly virus - Latest advice and news  | Express.co.uk,FAKE
102,Coronavirus outbreak: Could the virus reach the UK after spreading from Wuhan to Thailand? | Express.co.uk,FAKE
103,Experts Can't Agree If the Wuhan Virus Is a Global Crisis | WIRED,FAKE
104,"China coronavirus deaths rise to 17, heightening global alarm",REAL
105,Moderna is working on a vaccine for China's deadly coronavirus,REAL
106,Coronavirus is super-aggressive TYPE B which mutates much faster than other viruses | World | News | Express.co.uk,FAKE
107,Coronavirus: US companies restricting China travel as outbreak spreads,REAL
108,Trump on coronavirus from China: 'We have it totally under control',REAL
109,UPDATE 2- Italy bond yields stabilize after surge on report Di Maio to quit,REAL
110,"GLOBAL MARKETS-Stocks shake off China virus worries, dollar stays strong",REAL
111,Mainland Chinese stocks drop as coronavirus fears grip investors,REAL
112,Royal travel: Prince Harry flies on commercial British Airways and WestJet flights to Cana | Travel News | Travel | Express.co.uk,FAKE
113,Coronavirus: China puts Wuhan on lockdown with all transport shut in bid to contain virus | World | News | Express.co.uk,FAKE
114,"Coronavirus latest: Everything we know so far - symptoms, cases and more | Express.co.uk",FAKE
115,"Stock market live updates: Rally ends in last hour, Boeing wild day, Netflix falls",REAL
116,China's Wuhan shuts down transport as global alarm mounts over virus spread - Reuters,REAL
117,"Coronavirus warning: More than 4,000 people could have killer disease, warn experts | World | News | Express.co.uk",FAKE
118,WHO to decide on Thursday if coronavirus constitutes international emergency,REAL
119,Coronavirus set to impact Chinese airlines' first quarter profit -Aercap CEO,REAL
120,UPDATE 1-Housebuilders lead FTSE 100 bounce as China virus fears ease,REAL
121,METALS-Copper falls to a near 3-week low as virus death toll rises in China,REAL
122,TREASURIES-U.S. yields mixed as investors assess virus implications,REAL
123,"TREASURIES-U.S. yields pressured by Canada rate outlook, China virus fears",REAL
124,UPDATE 1-WHO says will decide on Thursday if China virus is a global health emergency,REAL
125,"US STOCKS-S&P 500, Nasdaq on track for record closing highs",REAL
126,US STOCKS-Tech sector pushes the S&P 500 to slight gain,REAL
127,Saudi Arabia to screen travelers from China after virus outbreak - Reuters,REAL
128,FACTBOX-WHO expert panel to decide whether new virus an emergency,REAL
129,Treasury yields rise as investors monitor earnings and virus development,REAL
130,Coronavirus MAPPED: Where has coronavirus been found? UK on alert | Express.co.uk,FAKE
131,Hong Kong leader Lam insists to stay on to tackle crises - Reuters,REAL
132,EMERGING MARKETS-Stocks gain ground as China soothes worries about virus outbreak,REAL
133,Hong Kong on high alert to tackle coronavirus outbreak - Reuters,REAL
134,"As virus spreads to more Chinese cities, WHO calls emergency meeting - Reuters",REAL
135,What is the threat to Australia from the new coronavirus? | World news | The Guardian,FAKE
136,Coronavirus: China bars 11m residents from leaving city at centre of outbreak | World news | The Guardian,FAKE
137,Coronavirus: WHO steps back from declaring public health emergency | World news | The Guardian,FAKE
138,Pacific nations still reeling from measles outbreak prepare for coronavirus | World news | The Guardian,FAKE
139,"Wuhan coronavirus death toll rises to 17 with 547 infected in China, sparking fears of wider spread - CNN",FAKE
140,A visual guide to the Wuhan virus outbreak - CNN,FAKE
141,Premarket stocks: The stock market is eerily calm again. Uh-oh... - CNN,FAKE
142,Inside ground zero of China's coronavirus outbreak: you can't even tell Lunar New Year is in town - CNN,FAKE
143,US coronavirus: Here's how to protect yourself as the deadly virus spreads - CNN,FAKE
144,Olympic qualifying events canceled and moved due to deadly Wuhan  - CNN,FAKE
145,Asian stocks recover from losses sparked by the coronavirus outbreak - CNN,FAKE
146,"US briefing: Bezos hacked by Saudis, impeachment trial and coronavirus | US news | The Guardian",FAKE
147,Hong Kong's Lam says city vigilant over coronavirus - Reuters,REAL
148,Transportation shut down in city where new coronavirus originated,FAKE
149,TAKE A LOOK-New coronavirus outbreak spreads in China,REAL
150,"Coronavirus could shave $3 from oil prices, Goldman warns",REAL
151,China coronavirus: Six questions scientists are asking,REAL
152,Public transportation suspended in China city to combat coronavirus outbreak,REAL
153,WHO postpones decision on declaring China coronavirus a global health emergency,REAL
154,WRAPUP 13-China's Wuhan shuts down transport as global alarm mounts over virus spread,REAL
155,"5 things to know before the stock market opens January 22, 2020",REAL
156,This one stock will signal whether coronavirus is getting serious,REAL
157,GLOBAL MARKETS-Asian stocks bounce as investors welcome China virus response,REAL
158,Thailand finds fourth China coronavirus infection,REAL
159,European markets in focus amid coronavirus fears,REAL
160,Gold slips on resurgent risk appetite as virus fears ebb,REAL
161,"Coronavirus looks like it's contained for now, pharma CEO says",REAL
162,WRAPUP 6-Pandemic fears grow as China virus toll rises to nine,REAL
163,"Stocks close little changed, IBM leads tech shares higher",REAL
164,"Outlook for Thursday: Earnings, ECB decision, jobless claims",REAL
165,UPDATE 4-Oil dips as surplus forecast overshadows Libya disruption,REAL
166,Oil slides nearly 3% as surplus forecast overshadows Libya disruption,REAL
167,UPDATE 6-Oil slides 2% as surplus forecast overshadows Libya disruption,REAL
168,"UPDATE 2-Oil slides as IEA predicts surplus, Libya disruption concerns fade",REAL
169,DAVOS-Trump says U.S. in 'good shape' with plan for coronavirus,REAL
170,UPDATE 5-Oil falls as surplus forecast overshadows Libya disruption,REAL
171,Coronavirus impact: Chinese tourism would be hit by prolonged outbreak,REAL
172,Rapid global response to the new coronavirus shows progress made since SARS,FAKE
173,China coronavirus takes down travel stocks: What to watch,REAL
174,United says two passengers appeared to show symptoms of coronavirus,REAL
175,"Oil Falls Further On Rising Crude, Product Inventories | OilPrice.com",REAL
176,Goldman: China Coronavirus Could Push Oil Down By $3 | OilPrice.com,REAL
177,DAVOS-Trump says U.S. in 'great shape' with plan for coronavirus,REAL
178,Tankers Idle At Libyan Ports As Oil Exports Dry Up | OilPrice.com,REAL
179,Oil Prices Head Lower Despite Small Crude Draw | OilPrice.com,REAL
180,WHO says no need—yet—to declare spread of novel virus is an international emergency | Science | AAAS,REAL
181,Coronavirus: panic and anger in Wuhan as China orders city into lockdown | World news | The Guardian,FAKE
182,The Hottest Energy Conflict Right Now | OilPrice.com,REAL
183,WHO says will decide on Thursday if China virus is a global health emergency - Reuters,REAL
184,Microsoft’s software plan for the Duo Android phone is surprisingly realistic,FAKE
185,UPDATE 1-Hotel operators waive fees for Chinese hotel cancellations as virus fears grow - Reuters,REAL
186,Hotel operators waive fees for Chinese hotel cancellations as virus fears grow - Reuters,REAL
187,Novel Coronavirus that recently emerged in China: Research underway to address latest viral threat -- ScienceDaily,REAL
188,"At Times of Viral Global Outbreaks Like the Coronavirus, Ontario’s Overcrowded, Underfunded Hospitals Severely Disadvantaged",REAL
189,Moderna Announces Funding Award from CEPI to Accelerate Development of Messenger RNA (mRNA) Vaccine Against Novel Coronavirus,REAL
190,Coronavirus Inactivation Reported in Recent INTERCEPT Blood System Publication in Transfusion Medicine,REAL
191,Co-Diagnostics (NASDAQ:CODX) Prepares Coronavirus Test as World Health Organization Weighs Global Health Emergency,REAL
192,Appetite for 'warm meat' drives risk of disease in Hong Kong and China | Environment | The Guardian,FAKE
193,Wuhan: The London-sized city where the virus began - BBC News,FAKE
194,World financial markets rocked by China coronavirus | Business | The Guardian,FAKE
195,Fourteen people in UK tested for coronavirus | World news | The Guardian,FAKE
196,Chinese state media downplays coronavirus as Xi strikes positive tone | World news | The Guardian,FAKE
197,China virus: ten cities locked down and Beijing festivities scrapped | World news | The Guardian,FAKE
198,WHO urges global unity in fight against coronavirus outbreak | World news | The Guardian,FAKE
199,Huawei developer conference postponed due to Wuhan coronavirus,FAKE
200,World Health Organization says it’s too early to declare global emergency over new coronavirus,FAKE
201,Can wearing masks stop the spread of viruses? - BBC News,FAKE
202,Coronavirus warning: Complications that can arise if symptoms are left untreated | Express.co.uk,FAKE
203,NCIS season 17: What did actress find challenging about playing Director Jenny Shepard? | TV & Radio | Showbiz & TV | Express.co.uk,FAKE
204,Coronavirus poll: Are you worried about the deadly coronavirus outbreak? Vote HERE  | World | News | Express.co.uk,FAKE
205,EMERGING MARKETS-Brazil stocks at record high,FAKE
206,US STOCKS-Wall Street pares losses on positive coronavirus news,REAL
207,U.S. CDC seeks emergency approval to use diagnostic test for coronavirus,REAL
208,"GLOBAL MARKETS-Asian shares wilt, oil tumbles as China virus spreads",REAL
209,GLOBAL MARKETS-Coronavirus fears weigh on global equity markets,REAL
210,Chinese stocks just had their worst day in more than eight months as the coronavirus spreads - CNN,FAKE
211,China new year plans scrapped as Wuhan coronavirus spreads - CNN,FAKE
212,Dementia: Could Souvenaid improve memory in people with mild cognitive impairment? | Express.co.uk,FAKE
213,Senate Republicans need to end this trial before Donald Trump confesses to anything else - CNN,FAKE
214,China's Wuhan coronavirus: CDC advisers concerned about lack of basic information - CNN,FAKE
215,WHO: Wuhan coronavirus is not yet a public health emergency of international concern - CNN,FAKE
216,WHO officials try to contain China coronavirus — as well as public fears,REAL
217,GLOBAL MARKETS-Virus fears keep stocks red,REAL
218,European stocks close lower on coronavirus fears and dovish ECB tone,REAL
219,The Wuhan virus is the last thing China's economy needs right now - CNN,FAKE
220,UPDATE 8-Oil falls 2% as specter of China virus threatens fuel demand,REAL
221,EMERGING MARKETS-Latam stocks fall,REAL
222,Coronavirus cases rise to more than 800 worldwide as infection spreads,REAL
223,"Coronavirus: CDC advises against nonessential travel to Wuhan, China",REAL
224,This map shows the latest spread of coronavirus,REAL
225,China coronavirus: Confirmed cases and where they are,REAL
226,Coronavirus costs China box office at least $210 million this weekend,REAL
227,UPDATE 3-Saudi Arabia denies case of coronavirus infection,REAL
228,EMERGING MARKETS-Stocks out of gas as China virus fears worsen,FAKE
229,"5 things to know before the stock market opens January 23, 2020",REAL
230,Procter & Gamble (PG) earnings Q2 2020,REAL
231,"Rail stocks look ready to break out, chart suggests",REAL
232,Oil falls 3% as specter of China virus threatens fuel demand,REAL
233,"Nikkei retreats as China virus spreads, energy-linked firms sag",REAL
234,TREASURIES-U.S. yields tumble on nagging worries about new virus,REAL
235,Procter & Gamble says it is monitoring China coronavirus,REAL
236,Davos 2020: Carrie Lam says Hong Kong's ready to deal with coronavirus,REAL
237,WHO says not declaring virus a global emergency but taking it seriously,REAL
238,Why snakes probably aren’t spreading the new China virus,REAL
239,"GLOBAL MARKETS-Asian stocks fall, safe havens up as China virus fears grow",REAL
240,"'The worst has yet to come,' analyst says of China coronavirus outbreak",REAL
241,Coronavirus news: Security minister gives crucial update as fears disease may hit UK rise | UK | News | Express.co.uk,FAKE
242,Coronavirus threat: Nurse in tears as she admits staff 'afraid and worried' as cases spike | World | News | Express.co.uk,FAKE
243,China Coronavirus outbreak: How many people have REALLY been infected? Latest death toll  | World | News | Express.co.uk,FAKE
244,Wuhan coronavirus 'super spreader' alarms disease detectives - CNN,FAKE
245,Coronavirus latest: Highways near Wuhan BLOCKED to stop people from leaving | World | News | Express.co.uk,FAKE
246,Coronavirus outbreak: China seals off SECOND major city - 18m people on lockdown | World | News | Express.co.uk,FAKE
247,Coronavirus China lockdown: Footage shows Wuhan quarantine panic amid contagious fears | World | News | Express.co.uk,FAKE
248,Coronavirus panic: Terrified Chinese TV presenters wear face masks during studio broadcast | World | News | Express.co.uk,FAKE
249,Coronavirus symptoms: True number of infected could be hidden by asymptomatic patients | Science | News | Express.co.uk,FAKE
250,China coronavirus: How serious is the China virus epidemic - Will the virus spread? | World | News | Express.co.uk,FAKE
251,Coronavirus: Major holiday warning issued by Foreign Office for top Asia destinations | Travel News | Travel | Express.co.uk,FAKE
252,Coronavirus in UK: Fears as five hospital patients in Scotland tested for deadly virus | UK | News | Express.co.uk,FAKE
253,Coronavirus puts UK police stations on lockdown as suspect shows symptoms of virus | UK | News | Express.co.uk,FAKE
254,Coronavirus outbreak: Beijing forced to cancel Chinese New Year celebrations | World | News | Express.co.uk,FAKE
255,Coronavirus latest: Ireland on high alert as Dublin patient returns from China with fever | UK | News | Express.co.uk,FAKE
256,Coronavirus latest: Fifth suspected case feared in UK as patient rushed to hospital | UK | News | Express.co.uk,FAKE
257,Coronavirus lockdown: Ezhou sealed off by panicked officials as outbreak spreads | World | News | Express.co.uk,FAKE
258,Coronavirus warning: World facing huge risk this weekend in Chinese New Year timebomb | World | News | Express.co.uk,FAKE
259,Chinese New Year 2020: Marks & Spencer in horror gaffe by offering wrong food deal | UK | News | Express.co.uk,FAKE
260,WRAPUP 2-U.S. weekly jobless claims rise modestly,FAKE
261,Coronavirus outbreak: Oil prices drop amid growing fears of global health crisis | World | News | Express.co.uk,FAKE
262,"Death in Paradise season 9, episode 4 promo: What will happen in next week’s episode? | TV & Radio | Showbiz & TV | Express.co.uk",FAKE
263,"Dow to drop, China coronavirus worsens and Mnuchin rips Greta Thunberg",REAL
264,"Stock market live updates: S&P claws back, Netflix pops, coronavirus lifts biotechs, GE jumps",REAL
265,GRAINS-Wheat hovers near 18-month peak as global supplies tighten,REAL
266,GRAINS-Corn futures exceed three-month high on U.S. export demand,REAL
267,Pound US Dollar exchange rate: GBP/USD flat as BoE decision ‘genuine toss up’ | City & Business | Finance | Express.co.uk,FAKE
268,"Snakes could be the original source of the new coronavirus outbreak in China
 - CNN",FAKE
269,Coronavirus UK latest: Is it safe to fly? Airports take steps to stop spread of virus | Travel News | Travel | Express.co.uk,FAKE
270,Coronavirus warning: WHO says deadly coronavirus COULD become global health emergency | World | News | Express.co.uk,FAKE
271,Nigel Farage ‘astonished’ at UK government’s response to coronavirus | UK | News | Express.co.uk,FAKE
272,High blood pressure: Eating bananas could keep the condition at bay | Express.co.uk,FAKE
273,Coronavirus warning: China is absolutely helpless in bid to stop deadly virus spreading | World | News | Express.co.uk,FAKE
274,China's coronavirus will be a negative for some markets until it stops,REAL
275,Stocks dive as fears over coronavirus spread - CNN,FAKE
276,Xi Jinping: Virus is the latest crisis to face China's president - CNN,FAKE
277,Disney closes Shanghai park as deadly coronavirus spreads - CNN,FAKE
278,Lunar New Year means everything in China. Canceling celebrations is a massive deal - CNN,FAKE
279,Coronavirus death toll in China hits 41 as medical staff struggle to cope - CNN,FAKE
280,Asian stocks quiet on Lunar New Year's eve after a turbulent week -- Asian market latest - CNN,FAKE
281,A man diagnosed with Wuhan coronavirus near Seattle is being treated largely by a robot - CNN,FAKE
282,"Wuhan coronavirus case confirmed in Chicago, the second in the US - CNN",FAKE
283,Shanghai Disney shuts to prevent spread of virus,REAL
284,McDonald's closes restaurants in five Chinese cities because of the coronavirus  - CNN,FAKE
285,"GLOBAL MARKETS-China virus fears spook U.S. shares, oil prices",REAL
286,10-year Treasury yield falls below 1.7% amid coronavirus fears,REAL
287,Europe markets: WHO says no 'global emergency' yet for China virus,REAL
288,METALS-Copper set for sharpest weekly drop in near 19 months amid virus scare,REAL
289,"EMERGING MARKETS-Assets stable, still set for first weekly decline in more than a month",REAL
290,"CEE MARKETS-Currencies gain after euro zone PMIs, Czech bond rally pauses",REAL
291,Wuhan scientists: What it’s like to be on lockdown,REAL
292,GLOBAL MARKETS-Positive eurozone data pushes global equity markets higher,REAL
293,This scientist hopes to test coronavirus drugs on animals in locked-down Wuhan,REAL
294,"UPDATE 6-Oil falls below $61, heads for weekly loss on China virus concerns",REAL
295,"Energy rout rolls on, but a trader says one stock could have bottomed out",REAL
296,"US STOCKS-Wall St bogged down by China virus fears, Intel limits losses",REAL
297,Hospitals in China's virus epicenter launch public appeals for supplies,REAL
298,Dollar dips vs yen as investors reach for safe havens on virus scare,REAL
299,France confirms first three cases of coronavirus in Europe,REAL
300,LIVESTOCK-Cattle futures set multi-month lows as China virus fears hit markets,REAL
301,"Asia Gold-Demand tepid as holidays, virus threat choke activity",REAL
302,Coronavirus death toll rises to 26 with more than 900 confirmed cases worldwide,REAL
303,"Power Rankings: MAX-imum impact, virus outbreak & the breakfast bull",REAL
304,GLOBAL MARKETS-European stocks shrug off coronavirus fears,REAL
305,The Wuhan Coronavirus: Is China's Quarantine Ethical? - The Atlantic,FAKE
306,"Coronavirus fear hits oil, prices drop most since May",REAL
307,"Gottlieb: China's coronavirus more contagious than SARS, less severe",REAL
308,CDC confirms second US case of coronavirus. Chicago resident diagnosed,REAL
309,Dow drops 170 points to end the week as coronavirus fears grow,REAL
310,"China virus death toll rises to 41, more than 1,000 infected",REAL
311,"After virus scare, markets look to Fed rate policy to keep rally going",REAL
312,Bonds look like they are flashing a warning for global markets,REAL
313,"Stocks making the biggest moves midday: Intel, Boeing, Disney & more",REAL
314,"5 things to know before the stock market opens January 24, 2020",REAL
315,US Oil Rig Count Inches Higher As Production Hits 13 Million Bpd | OilPrice.com,REAL
316,Oil Bears Are Back As Demand Fears Go Viral | OilPrice.com,REAL
317,Why $40 Oil Is A Real Possibility | OilPrice.com,REAL
318,Speculators Are Dragging Down Natural Gas | OilPrice.com,REAL
319,MTR: Axing Hong Kong Lunar New Year party essential for coronavirus 'crisis',REAL
320,"EMERGING MARKETS-Latam FX flat, headed for weekly gain, coronavirus weighs",REAL
321,GLOBAL MARKETS-European stocks climb as economic data fuels growth hopes,REAL
322,Global carmaker and luxury brands hit as coronavirus shuts down Wuhan - CNN,FAKE
323,How much longer will we trust Google’s search results?,FAKE
324,'I felt like ET': UK man describes surreal coronavirus quarantine | World news | The Guardian,FAKE
325,High blood pressure: Avoid baked beans if you want to lower your reading | Express.co.uk,FAKE
326,Coronavirus news: Britain braced for killer virus outbreak | Express.co.uk,FAKE
327,Coronavirus tracker: Where has deadly coronavirus been? Has it reached UK? | Express.co.uk,FAKE
328,"Coronavirus tracker map: Chaos as almost 1,000 cases confirmed in horror outbreak- 26 dead | Express.co.uk",FAKE
329,Coronavirus tests now being carried out in California and Texas | World | News | Express.co.uk,FAKE
330,Coronavirus shock: ‘Concerning’ study finds virus can spread to chickens and turkeys | Science | News | Express.co.uk,FAKE
331,"If you’re feeling nervous about the coronavirus, you’re not alone  ",FAKE
332,Coronavirus spreading: Expert reveals virus is being passed on through sufferer's EYES | Express.co.uk,FAKE
333,NCIS season 17: What happened to Agent Ellie Bishop’s husband on NCIS? | TV & Radio | Showbiz & TV | Express.co.uk,FAKE
334,Coronavirus outbreak: Has coronavirus hit UK? Is your area affected? | Express.co.uk,FAKE
335,Cabin crew secrets: Flight attendants reveal weirdest things they’ve seen passengers do | Travel News | Travel | Express.co.uk,FAKE
336,Coronavirus nurse warns horrific hospital conditions means ‘EVERYONE will be infected’ | World | News | Express.co.uk,FAKE
337,Coronavirus: How to stay safe at the airport - will hand sanitizer protect you? | Travel News | Travel | Express.co.uk,FAKE
338,Coronavirus patients treated next to DEAD bodies as Wuhan hospitals hit breaking point | World | News | Express.co.uk,FAKE
339,"Coronavirus could affect 350,000 in Wuhan alone as scientists drastically up estimates | World | News | Express.co.uk",FAKE
340,Coronavirus latest: What you can do to prevent the deadly virus’s symptoms spreading  | Express.co.uk,FAKE
341,Coronavirus panic: Poll reveals people fear deadly outbreak as 14 people tested in UK | World | News | Express.co.uk,FAKE
342,"Coronavirus outbreak: Disneyland closed as crisis escalates - 1,000 suspected cases | World | News | Express.co.uk",FAKE
343,Coronavirus: Why it is EASIER for viruses to spread in the winter months | Express.co.uk,FAKE
344,Coronavirus vs Spanish flu: How deadly is China outbreak? Vs flu that killed 50 MILLION | Express.co.uk,FAKE
345,Older men are main victims of new epidemic say Chinese health chiefs | Express.co.uk,FAKE
346,Coronavirus latest: Fresh fears of UK outbreak despite 14 people cleared of deadly virus | UK | News | Express.co.uk,FAKE
347,Coronavirus panic: Mystery illness fits profile of deadly Disease X warns WHO  | World | News | Express.co.uk,FAKE
348,"Coronavirus latest: UK GPs told to LOCK UP suspected victims as 2,000 could be carriers | World | News | Express.co.uk",FAKE
349,‘Like Walking Dead’ Coronavirus hell as corpses litter hospitals while people drop dead | World | News | Express.co.uk,FAKE
